id,isbn,isbn13,title,num_pages,partOf_series,series_id,publisher,publication_year,avg_rating,ratings_cnt,author_id,date_added,start_date,finish_date,myRating,myReview,readStatus
3515117911,0553587579,9780553587579,Foundation and Earth (Foundation #5),500,,,Spectra,2004,4.06,54975,16667,2020-08-25,,2015-01-01,0,,read
3515117505,1857237366,9781857237368,Foundation and Chaos (Second Foundation Trilogy #2),448,,,Orbit,1999,4.18,25094,16024,2020-08-25,,,0,,to-read
3515116622,1503941868,9781503941861,Extracted,399,,,47North,2017,3.94,11723,6447537,2020-08-25,,,0,,to-read
3515116137,1416524355,9781416524359,Everything's Eventual,605,,,Pocket Books,2005,3.97,88098,3389,2020-08-25,,,0,,to-read
3515115878,0385531680,9780385531689,Everything is Obvious: Once You Know the Answer,352,,,Crown Business,2011,3.82,4345,133131,2020-08-25,,,0,,to-read
3515115267,0765385503,9780765385505,"Every Heart a Doorway (Wayward Children, #1)",173,,,Tor.com,2016,3.82,66133,2860219,2020-08-25,,,0,,to-read
3515115000,0060855908,9780060855901,"Equal Rites (Discworld, #3; Witches, #1)",228,,,Harper Perennial,2005,4.03,141224,1654,2020-08-25,,,0,,to-read
3515114813,1501129740,9781501129742,"End of Watch (Bill Hodges Trilogy, #3)",432,,,Scribner,2016,4.08,88081,3389,2020-08-25,,,0,,to-read
3515114614,0345487133,9780345487131,Earth Abides,345,,,Del Rey,2006,3.96,23974,53501,2020-08-25,,,0,,to-read
3515114420,1416552510,9781416552512,Duma Key,611,,,Scribner Book Company,2008,3.95,99785,3389,2020-08-25,,,0,,to-read
3515114239,2226131906,9782226131904,Dreamcatcher,688,,,Albin Michel,2002,3.63,149968,3389,2020-08-25,,,0,,to-read
3515114075,0345484266,9780345484260,"Dragonflight (Dragonriders of Pern, #1)",299,,,Del Rey,2005,4.09,124474,26,2020-08-25,,,0,,to-read
3515113752,0553562738,9780553562736,"Doomsday Book (Oxford Time Travel, #1)",578,,,Bantam Spectra,1992,4.03,48576,14032,2020-08-25,,,0,,to-read
3515113553,1101138173,9781101138175,Dolores Claiborne,384,,,Signet Book,1993,3.87,125603,3389,2020-08-25,,,0,,to-read
3515113237,0670868361,9780670868360,Desperation,690,,,Viking Penguin,1996,3.83,120250,3389,2020-08-25,,,0,,to-read
3515113014,0385534612,9780385534611,"Design in Nature: How the Constructal Law Governs Evolution in Biology, Physics, Technology, and Social Organization",304,,,Doubleday Books,2012,3.59,309,272429,2020-08-25,,,0,,to-read
3515112688,0451822196,9780451822192,Cycle of the Werewolf,128,,,Signet Books,1985,3.65,47743,3389,2020-08-25,,,0,,to-read
3515112494,0380788624,9780380788620,Cryptonomicon,918,,,William Morrow Paperbacks,2000,4.25,98310,545,2020-08-25,,,0,,to-read
3515111587,2266079999,9782266079990,Contact,580,,,Pocket,1997,4.13,122640,10538,2020-08-25,,,0,,to-read
3515111389,0060535954,9780060535957,Coming of Age in the Milky Way,512,,,Harper Perennial,2003,4.15,2833,4220886,2020-08-25,,,0,,to-read
3515111137,0140286802,9780140286809,Collected Fictions,565,,,Penguin Classics Deluxe Edition,1999,4.58,20489,500,2020-08-25,,,0,,to-read
3515110786,2253147699,9782253147695,Christine,411,,,LGF,2001,3.78,200124,3389,2020-08-25,,,0,,to-read
3515110418,1596872233,9781596872233,"Chimera (Isaac Asimov's Robot Mystery, #2)",480,,,iBooks,2005,3.83,105,261107,2020-08-25,,,0,,to-read
3515110197,1416524517,9781416524519,Cell,449,,,Pocket Star Books,2006,3.65,190737,3389,2020-08-25,,,0,,to-read
